コード,名称,市場,セクター,時価総額,発行株式数,株価,配当金,業種別PER,EPS,BPR
1301,極洋,東証一部,水産・農林,40161,10928283,3675,50.00,17.8,257.07,2396.51
1332,日本水産,東証一部,水産・農林,211515,312430277,677,8.00,17.8,64.21,400.67
1333,マルハニチロ,東証一部,水産・農林,178770,52656910,3395,40.00,17.8,256.49,1960.39
1352,ホウスイ,東証一部,卸売,10356,8379000,1236,20.00,14.3,51.35,676.20
1376,カネコ種苗,東証一部,水産・農林,18707,11772626,1589,26.00,17.8,123.50,1513.45
1377,サカタのタネ,東証一部,水産・農林,172100,48410750,3555,25.00,17.8,113.33,2142.13
1379,ホクト,東証一部,水産・農林,67052,33359040,2010,60.00,17.8,58.22,1528.41
1380,秋川牧園,JQS,水産・農林,2620,4179000,627,5.00,17.8,20.38,356.91
1381,アクシーズ,JQS,水産・農林,21403,5617500,3810,45.00,17.8,356.13,1883.05
1382,ホーブ,JQS,水産・農林,753,762000,988,0.00,17.8,61.69,603.63
1383,ベルグアース,JQS,水産・農林,1835,1269900,1445,10.00,17.8,-35.44,847.41
1384,ホクリヨウ,東証一部,水産・農林,9263,8459000,1095,15.00,17.8,-,985.15
1400,ルーデン・ホールディングス,JQG,建設,2609,10111300,258,0.00,12.9,2.39,170.60
1401,エムビーエス,東証マザ,建設,5056,7275000,695,0.00,12.9,29.83,223.63
1407,ウエストホールディングス,JQS,建設,19664,27235200,722,30.00,12.9,82.19,553.49
1408,サムシングホールディングス,JQG,建設,2049,4114200,498,-,12.9,1.46,280.61
1413,桧家ホールディングス,東証二部,建設,33965,13575000,2502,80.00,12.9,272.56,1154.71
1414,ショーボンドホールディングス,東証一部,建設,186975,28372590,6590,114.00,12.9,267.51,2572.72
1417,ミライト・ホールディングス,東証一部,建設,115351,85381866,1351,30.00,12.9,101.22,1570.59
1418,インターライフホールディングス,JQS,建設,5743,20010529,287,4.00,12.9,6.15,234.53
1419,タマホーム,東証一部,建設,21430,30055800,713,26.00,12.9,53.23,389.34
1420,サンヨーホームズ,東証一部,建設,9856,12620000,781,15.00,12.9,89.35,1214.78
1429,日本アクア,東証マザ,建設,18617,36220000,514,4.00,12.9,22.27,154.35
1430,ファーストコーポレーション,東証一部,建設,14917,13331040,1119,38.00,12.9,124.02,292.10
1431,エスケーホーム,福証QB,建設,1707,1263500,1351,25.00,12.9,158.29,993.80
1433,ベステラ,東証一部,建設,17650,8341200,2116,15.00,12.9,43.34,266.01
1434,JESCOホールディングス,東証二部,建設,2738,6338900,432,10.00,12.9,39.44,349.84
1435,インベスターズクラウド,東証一部,建設,106097,15811800,6710,40.00,12.9,230.87,453.89
1436,フィット,東証マザ,建設,5143,4282200,1201,26.00,12.9,177.26,962.12
1438,岐阜造園,名証二部,建設,1887,1451800,1300,35.00,12.9,149.31,1571.84
1439,安江工務店,JQS,建設,2040,1305380,1563,43.00,12.9,170.00,954.51
1491,中外鉱業,東証二部,非鉄金属,8982,289747982,31,0.00,23.4,1.45,24.45
1514,住石ホールディングス,東証一部,鉱業,9305,58892853,158,2.00,15.8,30.11,202.47
1515,日鉄鉱業,東証一部,鉱業,67570,8352319,8090,80.00,15.8,600.84,11966.81
1518,三井松島産業,東証一部,鉱業,17846,13064400,1366,40.00,15.8,91.85,2442.36
1605,国際石油開発帝石,東証一部,鉱業,1710187,1462323600,1169.5,18.00,15.8,35.61,2004.29
1606,日本海洋掘削,東証一部,鉱業,38394,18000000,2133,0.00,15.8,-477.34,1520.06
1662,石油資源開発,東証一部,鉱業,130942,57154776,2291,20.00,15.8,21.33,7683.23
1663,K＆Oエナジーグループ,東証一部,鉱業,56941,30336061,1877,28.00,15.8,76.68,2578.57
1711,省電舎ホールディングス,東証二部,建設,1913,2702173,708,0.00,12.9,19.24,277.18
1712,ダイセキ環境ソリューション,東証一部,建設,23221,16827120,1380,6.00,12.9,64.53,648.11
1716,第一カッター興業,東証二部,建設,9222,6000000,1537,12.00,12.9,147.76,1413.05
1717,明豊ファシリティワークス,JQS,建設,4817,12775900,377,13.00,12.9,35.99,229.28
1718,美樹工業,JQS,建設,5247,1153263,4550,100.00,12.9,868.89,9709.12
1719,安藤・間,東証一部,建設,156872,185209189,847,20.00,12.9,108.39,553.83
1720,東急建設,東証一部,建設,99822,106761205,935,26.00,12.9,128.38,628.71
1721,コムシスホールディングス,東証一部,建設,390429,141000000,2769,50.00,12.9,183.27,1854.90
1722,ミサワホーム,東証一部,建設,40098,43070163,931,20.00,12.9,92.87,1016.07
1723,日本電技,JQS,建設,24633,8197500,3005,75.00,12.9,249.11,2204.66
1724,シンクレイヤ,JQS,建設,1787,4033780,443,6.00,12.9,58.26,379.02
1726,ビーアールホールディングス,東証一部,建設,15840,39700000,399,5.00,12.9,23.17,121.88
1728,ミサワホーム中国,JQS,建設,3393,11540180,294,5.00,12.9,23.46,535.81
1730,麻生フオームクリート,JQS,建設,1344,3420000,393,10.00,12.9,27.83,415.67
1734,北弘電社,札証,建設,2587,650000,3980,-,12.9,427.81,8965.40
1736,オーテック,JQS,建設,8607,5700000,1510,48.00,12.9,186.67,2305.12
1737,三井金属エンジニアリング,東証二部,建設,16614,12780000,1300,52.00,12.9,116.66,963.20
1738,NITTOH,名証二部,建設,2554,4060360,629,15.00,12.9,71.55,726.85
1739,シード平和,JQG,建設,6135,3227200,1901,7.50,12.9,267.81,778.02
1743,コーアツ工業,東証二部,建設,2147,760000,2825,50.00,12.9,270.25,8285.86
1757,クレアホールディングス,東証二部,建設,2468,91412356,27,0.00,12.9,-4.84,20.93
1758,太洋基礎工業,JQS,建設,4176,4098000,1019,20.00,12.9,128.40,1826.69
1762,高松コンストラクショングループ,東証一部,建設,117223,38880000,3015,53.00,12.9,202.67,2679.31
1764,工藤建設,東証二部,建設,3155,13312200,237,5.00,12.9,16.35,271.48
1766,東建コーポレーション,東証一部,建設,178908,13472000,13280,180.00,12.9,1017.27,5794.32
1768,ソネック,東証一部,建設,6413,7500000,855,13.00,12.9,68.84,744.73
1770,藤田エンジニアリング,JQS,建設,8763,11700000,749,20.00,12.9,112.14,1091.04
1771,日本乾溜工業,福証,建設,2474,5102000,485,4.00,12.9,61.51,1071.58
1773,ワイ・ティー・エル・コーポレーション・バーハッド,東証一部,建設,-,-,36,-,12.9,-,-
